Key,Value
genderpopulation50 - under 65_I,GNULL_AGE50YR65YR_TP
genderpopulation50 - under 65_M,M_AGE50YR65YR_TP
genderpopulation50 - under 65_U,UG_AGE50YR65YR_TP
genderpopulation65 - under 75_F,F_AGE65YR75YR_TP
genderpopulation65 - under 75_I,GNULL_AGE65YR75YR_TP
genderpopulation65 - under 75_M,M_AGE65YR75YR_TP
genderpopulation65 - under 75_U,UG_AGE65YR75YR_TP
genderpopulation75 plus_F,F_AGE75PL_TP
genderpopulation75 plus_I,GNULL_AGE75PL_TP
genderpopulation75 plus_M,M_AGE75PL_TP
genderpopulation75 plus_U,UG_AGE75PL_TP
gendersecond_dose16 - under 40_F,F_AGE16YR40YR_NVD2
gendersecond_dose16 - under 40_I,GNULL_AGE16YR40YR_NVD2
gendersecond_dose16 - under 40_M,M_AGE16YR40YR_NVD2
gendersecond_dose16 - under 40_U,UG_AGE16YR40YR_NVD2
gendersecond_dose40 - under 50_F,F_AGE40YR50YR_NVD2
gendersecond_dose40 - under 50_I,GNULL_AGE40YR50YR_NVD2
gendersecond_dose40 - under 50_M,M_AGE40YR50YR_NVD2
gendersecond_dose40 - under 50_U,UG_AGE40YR50YR_NVD2
gendersecond_dose50 - under 65_F,F_AGE50YR65YR_NVD2
gendersecond_dose50 - under 65_I,GNULL_AGE50YR65YR_NVD2
gendersecond_dose50 - under 65_M,M_AGE50YR65YR_NVD2
gendersecond_dose50 - under 65_U,UG_AGE50YR65YR_NVD2
gendersecond_dose65 - under 75_F,F_AGE65YR75YR_NVD2
gendersecond_dose65 - under 75_I,GNULL_AGE65YR75YR_NVD2
gendersecond_dose65 - under 75_M,M_AGE65YR75YR_NVD2
gendersecond_dose65 - under 75_U,UG_AGE65YR75YR_NVD2
gendersecond_dose75 plus_F,F_AGE75PL_NVD2
gendersecond_dose75 plus_I,GNULL_AGE75PL_NVD2
gendersecond_dose75 plus_M,M_AGE75PL_NVD2
gendersecond_dose75 plus_U,UG_AGE75PL_NVD2
pregnantfirst_dose0,PREG_NORISK_NVD1
pregnantfirst_dose1,PREG_ATRISK_NVD1
pregnantpopulation0,PREG_NORISK_TP
pregnantpopulation1,PREG_ATRISK_TP
pregnantsecond_dose0,PREG_NORISK_NVD2
pregnantsecond_dose1,PREG_ATRISK_NVD2
summary_riskgroupfirst_dose16 - under 40,ATRISK_AGE16YR40YR_NVD1
summary_riskgroupfirst_dose40 - under 50,ATRISK_AGE40YR50YR_NVD1
summary_riskgroupfirst_dose50 - under 65,ATRISK_AGE50YR65YR_NVD1
summary_riskgroupfirst_dose65 - under 75,ATRISK_AGE65YR75YR_NVD1
summary_riskgroupfirst_dose75 plus,ATRISK_AGE75PL_NVD1
summary_riskgrouppopulation16 - under 40,ATRISK_AGE16YR40YR_TP
summary_riskgrouppopulation40 - under 50,ATRISK_AGE40YR50YR_TP
summary_riskgrouppopulation50 - under 65,ATRISK_AGE50YR65YR_TP
summary_riskgrouppopulation65 - under 75,ATRISK_AGE65YR75YR_TP
summary_riskgrouppopulation75 plus,ATRISK_AGE75PL_TP
summary_riskgroupsecond_dose16 - under 40,ATRISK_AGE16YR40YR_NVD2
summary_riskgroupsecond_dose40 - under 50,ATRISK_AGE40YR50YR_NVD2
summary_riskgroupsecond_dose50 - under 65,ATRISK_AGE50YR65YR_NVD2
summary_riskgroupsecond_dose65 - under 75,ATRISK_AGE65YR75YR_NVD2
summary_riskgroupsecond_dose75 plus,ATRISK_AGE75PL_NVD2
summaryfirst_dose16 - under 40,AGE16YR40YR_NVD1
summaryfirst_dose40 - under 50,AGE40YR50YR_NVD1
summaryfirst_dose50 - under 65,AGE50YR65YR_NVD1
summaryfirst_dose65 - under 75,AGE65YR75YR_NVD1
summaryfirst_dose75 plus,AGE75PL_NVD1
summarypopulation16 - under 40,AGE16YR40YR_TP
summarypopulation40 - under 50,AGE40YR50YR_TP
summarypopulation50 - under 65,AGE50YR65YR_TP
summarypopulation65 - under 75,AGE65YR75YR_TP
summarypopulation75 plus,AGE75PL_TP
summarysecond_dose16 - under 40,AGE16YR40YR_NVD2
summarysecond_dose40 - under 50,AGE40YR50YR_NVD2
summarysecond_dose50 - under 65,AGE50YR65YR_NVD2
summarysecond_dose65 - under 75,AGE65YR75YR_NVD2
summarysecond_dose75 plus,AGE75PL_NVD2
